Change Physical Footprint: Designator=A1 Old Footprint=AN9520-245 New Footprint=AN9520-245
Change Physical Footprint: Designator=C1 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C2 Old Footprint=C+ New Footprint=C+
Change Physical Footprint: Designator=C3 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C4 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C5 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C6 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C7 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C8 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C9 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C10 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C11 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C12 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=C13 Old Footprint=C0805 New Footprint=C0805
Change Physical Footprint: Designator=D1 Old Footprint=LED ˦  0805 New Footprint=LED ˦  0805
Change Physical Footprint: Designator=J1 Old Footprint=2.54-2P New Footprint=2.54-2P
Change Physical Footprint: Designator=L1 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=L2 Old Footprint=L0402 New Footprint=L0402
Change Physical Footprint: Designator=LED1 Old Footprint=RGB New Footprint=RGB
Change Physical Footprint: Designator=R1 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R2 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R3 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R4 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R5 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R6 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R7 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R8 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R9 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R10 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R11 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R12 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R13 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R14 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R15 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R16 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R17 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R18 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R19 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R20 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=st1 Old Footprint=st7735s New Footprint=st7735s
Change Physical Footprint: Designator=SW1 Old Footprint=SW-TH_MSK12C02 New Footprint=SW-TH_MSK12C02
Change Physical Footprint: Designator=SW2 Old Footprint=SW New Footprint=SW
Change Physical Footprint: Designator=T1 Old Footprint=TF-SMD_TF-PUSH New Footprint=TF-SMD_TF-PUSH
Change Physical Footprint: Designator=U1 Old Footprint=CP2102_GMR New Footprint=CP2102_GMR
Change Physical Footprint: Designator=U2 Old Footprint=USB-C New Footprint=USB-C
Change Physical Footprint: Designator=U3 Old Footprint=ETA6003 New Footprint=ETA6003
Change Physical Footprint: Designator=U4 Old Footprint=ME6212C33M5G_JX New Footprint=ME6212C33M5G_JX
Change Physical Footprint: Designator=U5 Old Footprint=s8050 New Footprint=s8050
Change Physical Footprint: Designator=U6 Old Footprint=s8050 New Footprint=s8050
Change Physical Footprint: Designator=U7 Old Footprint=MPU6050 New Footprint=MPU6050
Change Physical Footprint: Designator=U8 Old Footprint=ESP32-PICO-D4 New Footprint=ESP32-PICO-D4
Change Physical Footprint: Designator=U9 Old Footprint=s8050 New Footprint=s8050
